"Timestamp","In which data science application area are you most interested?","On a scale of 1-5, where 5 represents ""very excited"" and 1 represents ""I am dreading this,"" how excited are you to be taking IDS 702: Data Modeling and Representation?","How many languages do you speak?","Do you play an instrument?","How many siblings do you have? (Enter the number, i.e., ""1"" not ""one"")","Would you rather live on the beach or in a cabin in the woods?","How many times have you eaten sushi in the last 30 days?","Seattle, Washington is known for its rainy weather. How many days a year, on average, do you think it rains in Seattle? This should just be a guess - don't google!"
"2023/08/21 1:21:38 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","3","no","2","On the beach","none","2"
"2023/08/21 1:22:23 PM AST","Other","4 (Pretty excited)","1","No","4","Cabin in the woods","0","200"
"2023/08/21 1:22:29 PM AST","Other","4 (Pretty excited)","2","piano, violin","0","On the beach","1","150"
"2023/08/21 1:22:44 PM AST","Other","4 (Pretty excited)","4","Piano","0","On the beach","4 ","200"
"2023/08/21 1:22:46 PM AST","Health","4 (Pretty excited)","3","Nope","2","Cabin in the woods","0","60"
"2023/08/21 1:22:54 PM AST","Health","4 (Pretty excited)","2","No","3","Cabin in the woods","0","200"
"2023/08/21 1:22:56 PM AST","Policy","4 (Pretty excited)","3","No","1","On the beach","1","250"
"2023/08/21 1:22:58 PM AST","Health","4 (Pretty excited)","2","No","1","On the beach","0","150"
"2023/08/21 1:23:00 PM AST","Policy","4 (Pretty excited)","2","No","2","Cabin in the woods","0","100"
"2023/08/21 1:23:01 PM AST","Other","3 (Neutral - I could take it or leave it)","1","No","1","On the beach","0","300"
"2023/08/21 1:23:05 PM AST","Other","3 (Neutral - I could take it or leave it)","3","Yes","0","On the beach","4","100"
"2023/08/21 1:23:07 PM AST","Health","4 (Pretty excited)","1","yes, piano","1","On the beach","2","60"
"2023/08/21 1:23:14 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","4","no","3","On the beach","0","200"
"2023/08/21 1:23:14 PM AST","Other","4 (Pretty excited)","2","Nope","0","On the beach","0","100"
"2023/08/21 1:23:16 PM AST","Other","4 (Pretty excited)","2","No","1","On the beach","0","300"
"2023/08/21 1:23:17 PM AST","Other","4 (Pretty excited)","3","Piano","1","On the beach","2","150"
"2023/08/21 1:23:18 PM AST","Climate/energy","4 (Pretty excited)","2","Yes","1","Cabin in the woods","1","200"
"2023/08/21 1:23:19 PM AST","Other","4 (Pretty excited)","3","yes","3","On the beach","2","30"
"2023/08/21 1:23:20 PM AST","Health","4 (Pretty excited)","3","Guitar","1","Cabin in the woods","0","150"
"2023/08/21 1:23:22 PM AST","Other","4 (Pretty excited)","2","Yes","5","On the beach","0","53"
"2023/08/21 1:23:26 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","3","Yes","5","On the beach","0","200"
"2023/08/21 1:23:28 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","5","No","1","On the beach","0","40"
"2023/08/21 1:23:28 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","2","piano for 3 days only oops ","1","On the beach","1","180"
"2023/08/21 1:23:28 PM AST","Health","4 (Pretty excited)","3","no","3","On the beach","0","75"
"2023/08/21 1:23:35 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","4","Yes","0","On the beach","1","270"
"2023/08/21 1:23:37 PM AST","Policy","4 (Pretty excited)","2","No","0","On the beach","1","300"
"2023/08/21 1:23:37 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","3","No","2","Cabin in the woods","0","90"
"2023/08/21 1:23:37 PM AST","Other","4 (Pretty excited)","3","Yes","1","Cabin in the woods","0","100"
"2023/08/21 1:23:39 PM AST","Health","3 (Neutral - I could take it or leave it)","2","yes","0","On the beach","1","180"
"2023/08/21 1:23:46 PM AST","Health","4 (Pretty excited)","3","No","0","On the beach","3","300"
"2023/08/21 1:23:46 PM AST","Other","4 (Pretty excited)","2","No","0","Cabin in the woods","1","120"
"2023/08/21 1:23:46 PM AST","Other","4 (Pretty excited)","1","no","1","Cabin in the woods","1","95"
"2023/08/21 1:23:48 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","2","I tried to learn a lot, but failed. So I guess no.","0","Cabin in the woods","0","250"
"2023/08/21 1:23:51 PM AST","Other","3 (Neutral - I could take it or leave it)","2","Piano","0","Cabin in the woods","0","300"
"2023/08/21 1:24:00 PM AST","Health","1 (I am dreading this)","2","no","1","On the beach","0","200"
"2023/08/21 1:24:02 PM AST","Climate/energy","4 (Pretty excited)","3","used to do","0","On the beach","0","18"
"2023/08/21 1:24:07 PM AST","Climate/energy","4 (Pretty excited)","2","No","1","Cabin in the woods","Whenever free Sushi was offered, probably 3-4 times","321"
"2023/08/21 1:24:08 PM AST","Other","3 (Neutral - I could take it or leave it)","4","no","3","On the beach","2","20"
"2023/08/21 1:24:21 PM AST","Other","4 (Pretty excited)","5","Nope","8","Cabin in the woods","1","200"
"2023/08/21 1:24:21 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","2","No, but love it.","0","Cabin in the woods","1","233"
"2023/08/21 1:24:23 PM AST","Other","2 (This is required and I'm not super excited)","2","nop","0","On the beach","1","100"
"2023/08/21 1:24:23 PM AST","Health","4 (Pretty excited)","2","piano","no","Cabin in the woods","6","300"
"2023/08/21 1:24:25 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","2","No","0","Cabin in the woods","1","110"
"2023/08/21 1:24:27 PM AST","Other","3 (Neutral - I could take it or leave it)","2","piano and guitar","0","On the beach","10","300"
"2023/08/21 1:24:29 PM AST","Climate/energy","4 (Pretty excited)","2","Yes","0","On the beach","1","120"
"2023/08/21 1:24:36 PM AST","Other","5 (Wow I cannot wait to learn about statistical models)","3","Yes","0","Cabin in the woods","0","200"
"2023/08/21 1:24:43 PM AST","Other","3 (Neutral - I could take it or leave it)","3","Guitar, Drums ","1","On the beach","0","90"
"2023/08/21 1:25:15 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","3","no","2","On the beach","0","2"
"2023/08/21 1:25:38 PM AST","Other","3 (Neutral - I could take it or leave it)","1","No","2","On the beach","0","320"
"2023/08/21 1:25:40 PM AST","Health","5 (Wow I cannot wait to learn about statistical models)","3","YES","5","Cabin in the woods","0","120"