Timestamp,Which year are you currently in?,Is this a required course for your major?,What is your major?,"How many siblings do you have? (Enter the number, i.e., ""1"" not ""one"")",How many Duke basketball games have you attended?,Have you ever been to the Grand Canyon?,"On how many days have you eaten sushi in the last month? (Again enter the number, i.e. ""1"" not ""one"")"
1/11/2024 16:18:38,First year,No,Psychology,1,1,No,2
1/11/2024 16:18:38,First year,No,Econ,1,2,No,0
1/11/2024 16:18:42,First year,Yes,Computational Media IDM,1,2,No,6
1/11/2024 16:18:43,First year,Yes,Public Policy,11,0,No,0
1/11/2024 16:18:45,Third year,No,Chemistry,1,0,No,0
1/11/2024 16:18:48,Third year,Yes,Environmental Science,1,1,No,0
1/11/2024 16:18:49,First year,No,Sociology,1,1,No,5
1/11/2024 16:18:49,Third year,Yes,Global Health ,5,1,No,0
1/11/2024 16:18:49,First year,Yes,neuroscience BS,1,2,No,2
1/11/2024 16:18:49,Second year,Yes,Biology ,2,1,No,0
1/11/2024 16:18:50,Third year,Yes,Biology,3,10 or more,Yes,5
1/11/2024 16:18:51,Fourth year,Yes,Environmental Science B.S.,3,10 or more,Yes,1
1/11/2024 16:18:51,First year,Yes,Global Health and Public Policy,1,2,No,3
1/11/2024 16:18:51,First year,No,Neuroscience,2,0,No,0
1/11/2024 16:18:51,First year,Yes,Neuroscience,1,0,No,0
1/11/2024 16:18:51,First year,Yes,Premed requirement,0,2,No,0
1/11/2024 16:18:52,First year,Yes,Marine Science and Conservation,1,5,Yes,0
1/11/2024 16:18:52,Second year,Yes,Biology,1,10 or more,No,1
1/11/2024 16:18:55,First year,Yes,Environmental Sciences and Policy,1,0,No,1
1/11/2024 16:18:55,Second year,No,history,1,0,No,0
1/11/2024 16:18:56,Second year,Yes,Biology,3,0,No,2
1/11/2024 16:18:57,Third year,No,Computer Science,0,0,No,1
1/11/2024 16:18:57,Fourth year,Yes,Biology,1,3,Yes,0
1/11/2024 16:18:57,First year,Yes,Environmental Science,2,0,Yes,0
1/11/2024 16:18:58,First year,No,undecided- leaning towards Political Science,2,4,No,5
1/11/2024 16:18:58,Third year,Yes,Psychology,0,0,No,1
1/11/2024 16:18:58,Second year,Yes,Neuroscience,0,5,No,Twice
1/11/2024 16:18:59,Fourth year,Yes,Public Policy,2,10 or more,No,1
1/11/2024 16:18:59,Second year,Yes,Biology,1,0,No,0
1/11/2024 16:19:00,Second year,Yes,Neuroscience,2,2,No,4
1/11/2024 16:19:00,First year,Yes,poli sci,2,2,No,0
1/11/2024 16:19:01,Third year,Yes,Evolutionary anthropology ,1,2,No,0
1/11/2024 16:19:03,Second year,No,International comparative studies ,4,5,No,2
1/11/2024 16:19:04,First year,Yes,Undeclared but likely Political Science,0,0,Yes,0
1/11/2024 16:19:04,Second year,Yes,Chemistry and Biology BS,1,2,Yes,3
1/11/2024 16:19:04,First year,No,Psychology,2,3,No,6
1/11/2024 16:19:05,Third year,Yes,Global Health with a track in Biology,0,1,No,2
1/11/2024 16:19:06,Third year,Yes,Global Health,2,6,No,2
1/11/2024 16:19:06,First year,Yes,Pub Pol ,2,3,Yes,1
1/11/2024 16:19:14,First year,No,undecided ,1,0,No,1
1/11/2024 16:19:21,First year,Yes,Math,2,1,Yes,1
1/11/2024 16:19:23,Third year,Yes,Biology and Global Health,1,8,No,1
1/11/2024 16:19:24,First year,Yes,Public Policy,0,1,No,1
1/11/2024 16:19:24,Third year,Yes,Environmental Science,1,8,Yes,0
1/11/2024 16:19:24,First year,Yes,Neuroscience pre med track ,1,5,No,5
1/11/2024 16:19:29,Third year,Yes,Biology and English ,2,2,No,1
1/11/2024 16:19:31,First year,Yes,"Biology - Premed track (required for pre med, Iâ€™m not sure for bio)",3,0,No,2
1/11/2024 16:19:36,First year,Yes,Biology and premed,2,0,No,1
1/11/2024 16:19:42,Second year,Yes,Finance Minor,1,1,No,once
1/11/2024 16:19:43,Second year,No,Evolutionary Anthropology,2,7,No,1
1/11/2024 16:19:43,Third year,No,Spanish,2,2,No,1
1/11/2024 16:19:45,First year,Yes,Math and stats ,2,1,Yes,0
1/11/2024 16:19:50,Second year,Yes,Neuroscience ,0,1,No,0
1/11/2024 16:19:57,First year,Yes,computational media (Maybe?),2,9,No,3
1/11/2024 16:19:59,First year,No,economics,3,7,No,5
1/11/2024 16:20:16,First year,No,Biology,1,0,No,1
1/11/2024 16:22:16,Second year,No,Cultural anthroplogy,2,4,No,0
1/11/2024 16:23:11,First year,No,Economics ,1,3,No,0
1/11/2024 16:52:35,Third year,Yes,Biology,0,0,Yes,5
1/12/2024 12:20:00,First year,Yes,Biology,2,0,No,0
1/15/2024 15:34:39,First year,No,Undecided,2,0,No,1