"Timestamp","What is your current year at Duke?","Is this a required course for your major?","What is your major?","How many siblings do you have? (Enter the number, i.e., ""1"" not ""one"")","How many Duke basketball games have you attended?","Have you ever been to the Grand Canyon?","On how many days have you eaten sushi in the last month? (Again enter the number, i.e. ""1"" not ""one"")"
"2025/01/09 2:42:22 PM EST","Second year","Yes","Biology, Global Health","1","0","No","0"
"2025/01/09 3:33:20 PM EST","First year","No","Chemistry","1","0","No","0"
"2025/01/09 3:51:31 PM EST","Second year","Yes","Bio ptemed","2","0","Yes","4"
"2025/01/09 3:52:22 PM EST","Third year","Yes","Public Policy","1","3","Yes","1"
"2025/01/09 3:54:59 PM EST","First year","No","Undecided","1","3","No","1"
"2025/01/09 3:55:43 PM EST","Second year","No","Biology","1","7","No","0"
"2025/01/09 4:09:55 PM EST","Second year","Yes","Public Policy","2","5","No","0"
"2025/01/09 4:13:24 PM EST","First year","Yes","Neuroscience (on premed track)","1","2","No","2"
"2025/01/09 4:15:51 PM EST","First year","Yes","Biology","3","3","No","0"
"2025/01/09 4:16:30 PM EST","Second year","No","Earth and Climate Science","2","10 or more","No","0"
"2025/01/09 4:16:31 PM EST","Third year","Yes","Biology","1","1","No","8"
"2025/01/09 4:16:33 PM EST","First year","Yes","Psychology ","1","0","No","0"
"2025/01/09 4:16:37 PM EST","Third year","No","Asian & Middle Eastern Studies","1","10 or more","No","9"
"2025/01/09 4:16:38 PM EST","First year","Yes","Biology & Global Health ","1","1","No","0"
"2025/01/09 4:16:39 PM EST","Fourth year","Yes","Evolutionary Anthropology","3","10 or more","No","0"
"2025/01/09 4:16:40 PM EST","Second year","Yes","Biology","0","0","No","0"
"2025/01/09 4:16:42 PM EST","Second year","Yes","Public Policy","2","5","No","6"
"2025/01/09 4:16:42 PM EST","Second year","Yes","Bio","1","3","Yes","2"
"2025/01/09 4:16:42 PM EST","First year","Yes","Biology","1","10 or more","No","0"
"2025/01/09 4:16:43 PM EST","First year","Yes","Earth&Climate Science; Public Policy","0","2","No","1"
"2025/01/09 4:16:43 PM EST","Second year","Yes","Biology","1","0","No","0"
"2025/01/09 4:16:44 PM EST","First year","No","Evolutionary Anthropology","1","1","No","3"
"2025/01/09 4:16:46 PM EST","Third year","Yes","Biology Major","0","1","No","0"
"2025/01/09 4:16:46 PM EST","First year","Yes","Biology","5","10 or more","Yes","2"
"2025/01/09 4:16:46 PM EST","First year","Yes","public policy and cultural anthropology ","2","1","No","0"
"2025/01/09 4:16:47 PM EST","First year","Yes","Global Health and Bio","1","1","Yes","0"
"2025/01/09 4:16:47 PM EST","First year","Yes","Neuroscience","4","1","No","0"
"2025/01/09 4:16:47 PM EST","Third year","No","chemistry ","1","10 or more","Yes","3"
"2025/01/09 4:16:47 PM EST","First year","Yes","Neuroscience","2","10 or more","No","1"
"2025/01/09 4:16:47 PM EST","Third year","Yes","Neuroscience","1","5","No","6"
"2025/01/09 4:16:49 PM EST","Second year","No","Economics + Cultural Anthropology","3","8","No","1"
"2025/01/09 4:16:50 PM EST","First year","Yes","Biology","1","3","No","0"
"2025/01/09 4:16:51 PM EST","Second year","Yes","For pre med requirements but chemistry major","2","2","No","5"
"2025/01/09 4:16:52 PM EST","Second year","No","Biology","2","0","No","none"
"2025/01/09 4:16:53 PM EST","First year","Yes","Biology","1","6","No","3"
"2025/01/09 4:16:54 PM EST","Second year","Yes","Environmental sciences and policy","2","8","No","0"
"2025/01/09 4:16:54 PM EST","Second year","Yes","Marine Science and Conservation","1","0","No","1"
"2025/01/09 4:16:54 PM EST","First year","Yes","Neuroscience","2","2","No","2"
"2025/01/09 4:16:55 PM EST","Third year","Yes","Global Health and Biology","1","1","No","2"
"2025/01/09 4:16:56 PM EST","Second year","Yes","Biology","1","3","Yes","0"
"2025/01/09 4:17:01 PM EST","Third year","Yes","neruoscience","0","3","No","1"
"2025/01/09 4:17:06 PM EST","Third year","No","English","1","10 or more","No","1"
"2025/01/09 4:17:06 PM EST","First year","Yes","Neuroscience","1","0","No","0"
"2025/01/09 4:17:08 PM EST","First year","Yes","Biology","1","0","No","0"
"2025/01/09 4:17:10 PM EST","Second year","No","Public Policy","6","10 or more","Yes","3"
"2025/01/09 4:17:12 PM EST","First year","Yes","Biology","2","0","Yes","1"
"2025/01/09 4:17:15 PM EST","First year","Yes","Psychology or Neuroscience (undecided)","2","1","No","0"
"2025/01/09 4:17:16 PM EST","First year","Yes","Biology & AMES","1","10 or more","Yes","0"
"2025/01/09 4:17:18 PM EST","Fourth year","Yes","Program II","2","7","No","0"
"2025/01/09 4:17:19 PM EST","Second year","Yes","Neuroscience","1","5","No","0"
"2025/01/09 4:17:22 PM EST","First year","Yes","Biology","1","4","Yes","0"
"2025/01/09 4:17:22 PM EST","First year","Yes","Neuroscience ","2","1","No","1"
"2025/01/09 4:17:26 PM EST","Third year","Yes","Behavior Science with the track of Psychology","0","0","No","0"
"2025/01/09 4:17:33 PM EST","First year","No","Undeclared","1","2","No","4"
"2025/01/09 4:17:44 PM EST","First year","No","Undecided","3","0","No","0"
"2025/01/09 4:17:48 PM EST","First year","Yes","Global Health and Public Policy","9","0","No","1"
"2025/01/09 4:17:50 PM EST","Third year","Yes","Polisci","1","2","No","4"
"2025/01/09 4:18:26 PM EST","Third year","Yes","Molecular Bioscience with track in Cell and Molecular Biology (in DKU)","1","0","No","1"
"2025/01/09 4:18:28 PM EST","Fourth year","No","Anthropology ","4","0","No","0"
"2025/01/09 4:59:33 PM EST","First year","Yes","Public Policy","0","0","Yes","0"
"2025/01/10 9:12:49 AM EST","Third year","No","Psychology","1","5","No","4"
"2025/01/10 9:14:26 AM EST","Second year","No","Biology","2","0","No","0"
"2025/01/10 10:02:31 AM EST","First year","Yes","Global Health","0","0","Yes","2"
"2025/01/12 6:30:48 PM EST","Third year","Yes","Public Policy","1","2","No","4"