"","season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","bikers"
"3397",2,"May",146,"10",0,4,1,"clear",0.7,0.6667,NA,0.2836,49,94,143
"2912",2,"May",126,"5",0,5,1,"clear",0.34,0.3485,0.81,0.1045,0,16,16
"1560",1,"March",69,"10",0,4,1,"light rain/snow",0.4,0.4091,0,0.1642,0,17,17
"6986",4,"Oct",296,"16",0,0,0,"clear",0.52,0.5,0.55,0.194,188,217,405
"4709",3,"July",201,"2",0,3,1,"clear",0.7,0.6667,0.84,0,2,7,9
"5411",3,"Aug",230,"8",0,4,1,"clear",0.66,0.6212,0.74,0.2836,27,393,420
"1655",1,"March",73,"12",0,1,1,"clear",0.38,0.3939,0.37,0,40,54,94
"2626",2,"April",114,"7",0,0,0,"cloudy/misty",0.5,0.4848,1,0,16,11,27
"1688",1,"March",74,"22",0,2,1,"cloudy/misty",0.32,0.3182,0.87,0.1642,1,20,21
"1644",1,"March",73,"0",0,1,1,"clear",0.26,0.2727,0.65,0.1045,4,7,11
"3728",2,"June",160,"5",0,4,1,"cloudy/misty",0.7,0.6667,0.84,0,1,19,20
"6855",4,"Oct",291,"4",0,2,1,"cloudy/misty",0.44,0.4394,0.94,0.1045,0,4,4
"6644",4,"Oct",282,"9",0,0,0,"clear",0.5,0.4848,0.77,0,66,119,185
"667",1,"Jan",31,"2",0,1,1,"clear",0.22,0.2273,0.64,0.194,0,1,1
"4450",3,"July",190,"7",0,6,0,"clear",0.66,0.6061,0.78,0.194,21,50,71
"3433",2,"May",147,"22",0,5,1,"clear",0.6,0.5758,0.78,0.1343,25,116,141
"8319",4,"Dec",352,"6",0,0,0,"clear",0.2,0.2121,0.59,0.1343,0,3,3
"4688",3,"July",200,"5",0,2,1,"cloudy/misty",0.7,0.6667,0.74,0.1045,0,19,19
"4407",3,"July",188,"12",0,4,1,"clear",0.84,0.7727,NA,0,32,139,171
"5249",3,"Aug",223,"14",0,4,1,"clear",0.8,0.697,0.29,0,39,103,142
"1676",1,"March",74,"10",0,2,1,"cloudy/misty",0.32,0.3182,0.66,0.194,22,56,78
"2273",2,"April",99,"13",0,6,0,"cloudy/misty",0.36,0.3788,0.81,0,114,108,222
"200",1,"Jan",9,"14",0,0,0,"clear",0.22,0.1818,0.32,0.4627,8,64,72
"5042",3,"Aug",214,"23",0,2,1,"cloudy/misty",0.8,0.7424,0.49,0.1642,29,103,132
"5714",3,"Aug",243,"12",0,3,1,"clear",0.74,0.6667,NA,0.1343,68,192,260
"4173",3,"June",178,"18",0,1,1,"clear",0.74,0.6667,NA,0,79,512,591
"6398",4,"Sept",272,"3",0,4,1,"cloudy/misty",0.6,0.5152,0.94,0.194,0,8,8
"3665",2,"June",157,"14",0,1,1,"clear",0.78,0.6818,0.31,0.1343,46,99,145
"1495",1,"March",66,"15",0,1,1,"clear",0.34,0.303,0.31,0.3881,32,64,96
"7853",4,"Nov",332,"20",0,1,1,"cloudy/misty",0.54,0.5152,NA,0.2537,12,206,218
"7071",4,"Oct",300,"5",0,4,1,"light rain/snow",0.48,0.4697,0.88,0.0896,1,14,15
"1943",2,"March",85,"17",0,6,0,"clear",0.32,0.303,0.24,0.2239,102,101,203
"6214",3,"Sept",264,"11",0,3,1,"cloudy/misty",0.62,0.5758,0.83,0.1642,42,138,180
"1069",1,"Feb",48,"6",0,4,1,"clear",0.3,0.303,NA,0.1343,3,44,47
"8470",1,"Dec",358,"13",0,6,0,"clear",0.34,0.303,0.39,0.2985,24,97,121
"2731",2,"April",118,"16",0,4,1,"clear",0.62,0.5909,NA,0.2537,42,228,270
"5529",3,"Aug",235,"6",0,2,1,"clear",0.54,0.5152,0.6,0.194,3,111,114
"7180",4,"Oct",304,"18",0,1,1,"clear",0.4,0.4091,0.66,0.0896,30,392,422
"5345",3,"Aug",227,"14",0,1,1,"clear",0.74,0.6818,NA,0.0896,56,95,151
"7948",4,"Dec",336,"19",0,5,1,"clear",0.34,0.3182,0.53,0.2537,13,252,265
"344",1,"Jan",15,"19",0,6,0,"cloudy/misty",0.32,0.303,NA,0.2537,14,60,74
"8381",4,"Dec",354,"20",0,2,1,"clear",0.36,0.3788,NA,0,3,144,147
"8005",4,"Dec",339,"4",0,1,1,"clear",0.3,0.3182,NA,0.1045,0,7,7
"4185",3,"June",179,"6",0,2,1,"clear",0.66,0.6061,0.83,0.1642,7,117,124
"1646",1,"March",73,"2",0,1,1,"clear",0.26,0.2879,0.65,0.0896,0,1,1
"1823",2,"March",80,"16",0,1,1,"cloudy/misty",0.54,0.5152,0.64,0.2836,29,112,141
"6469",4,"Oct",275,"2",0,0,0,"light rain/snow",0.34,0.303,0.87,0.2985,3,27,30
"4877",3,"July",208,"2",0,3,1,"clear",0.76,0.697,NA,0.2985,1,5,6
"6389",4,"Sept",271,"18",0,3,1,"light rain/snow",0.66,0.6061,0.83,0.2537,65,459,524
"7525",4,"Nov",319,"3",0,2,1,"cloudy/misty",0.54,0.5152,0.68,0.3284,0,4,4
"8337",4,"Dec",353,"0",0,1,1,"clear",0.2,0.2273,0.75,0.0896,3,14,17
"8632",1,"Dec",365,"10",0,6,0,"clear",0.4,0.4091,0.76,0.1642,20,108,128
"5489",3,"Aug",233,"14",0,0,0,"light rain/snow",0.7,0.6667,NA,0.3881,78,157,235
"7598",4,"Nov",322,"4",0,5,1,"clear",0.22,0.2273,0.44,0.1642,0,5,5
"384",1,"Jan",17,"11",1,1,0,"cloudy/misty",0.16,0.1515,0.55,0.194,9,55,64
"4332",3,"July",185,"9",1,1,0,"cloudy/misty",0.72,0.6818,0.66,0.0896,142,96,238
"4234",3,"June",181,"7",0,4,1,"clear",0.62,0.6061,NA,0.2239,29,291,320
"3333",2,"May",143,"18",0,1,1,"clear",0.7,0.6667,0.74,0.2836,68,385,453
"1889",2,"March",83,"11",0,4,1,"cloudy/misty",0.3,0.2727,0.81,0.2985,10,61,71
"1796",1,"March",79,"12",0,0,0,"clear",0.36,0.3636,0.4,0.1045,120,108,228
"2778",2,"April",120,"15",0,6,0,"clear",0.56,0.5303,0.37,0.1343,217,282,499
"2553",2,"April",111,"6",0,4,1,"cloudy/misty",0.4,0.4091,0.58,0.5821,2,73,75
"1428",1,"March",63,"18",0,5,1,"cloudy/misty",0.34,0.303,0.53,0.2985,15,172,187
"1600",1,"March",71,"3",0,6,0,"clear",0.24,0.2273,0.65,0.2537,1,6,7
"7849",4,"Nov",332,"16",0,1,1,"clear",0.56,0.5303,NA,0.194,24,240,264
"4778",3,"July",203,"23",0,5,1,"clear",0.8,0.7879,NA,0.194,19,84,103
"7890",4,"Nov",334,"9",0,3,1,"clear",0.3,0.2879,0.75,0.2836,7,186,193
"3376",2,"May",145,"13",0,3,1,"clear",0.74,0.6818,0.55,0.1343,39,163,202
"4163",3,"June",178,"8",0,1,1,"clear",0.66,0.6212,0.74,0.194,29,418,447
"5104",3,"Aug",217,"13",0,5,1,"clear",0.78,0.7121,0.52,0.2537,40,164,204
"8008",4,"Dec",339,"7",0,1,1,"clear",0.32,0.3485,0.9,0,9,274,283
"5582",3,"Aug",237,"11",0,4,1,"light rain/snow",0.7,0.6667,0.79,0,39,112,151
"6778",4,"Oct",287,"23",0,5,1,"clear",0.46,0.4545,NA,0.1642,15,80,95
"7331",4,"Nov",311,"1",0,1,1,"clear",0.34,0.3636,0.87,0,2,6,8
"7832",4,"Nov",331,"22",0,0,0,"clear",0.48,0.4697,0.72,0.2537,13,53,66
"2173",2,"April",95,"9",0,2,1,"light rain/snow",0.36,0.3182,0.87,0.4925,2,44,46
"1571",1,"March",69,"21",0,4,1,"light rain/snow",0.36,0.3485,NA,0.2239,1,27,28
"5819",3,"Sept",247,"21",0,0,0,"clear",0.72,0.697,0.74,0.2537,104,103,207
"5131",3,"Aug",218,"16",0,6,0,"light rain/snow",0.74,0.7121,0.79,0.1642,155,188,343
"3679",2,"June",158,"4",0,2,1,"clear",0.58,0.5455,0.83,0.1343,2,3,5
"7626",4,"Nov",323,"8",0,6,0,"clear",0.26,0.2424,0.56,0.2537,12,80,92
"280",1,"Jan",13,"2",0,4,1,"clear",0.14,0.1212,0.5,0.3582,0,2,2
"1991",2,"March",87,"19",0,1,1,"clear",0.3,0.303,NA,0.1343,17,156,173
"2696",2,"April",117,"5",0,3,1,"cloudy/misty",0.56,0.5303,0.94,0.2537,1,16,17
"5471",3,"Aug",232,"20",0,6,0,"clear",0.74,0.6818,0.62,0.2239,78,170,248
"171",1,"Jan",8,"9",0,6,0,"light rain/snow",0.16,0.1818,0.93,0.1045,0,20,20
"474",1,"Jan",21,"18",0,5,1,"clear",0.12,0.1212,0.3,0.2537,1,119,120
"1304",1,"Feb",58,"12",0,0,0,"clear",0.4,0.4091,0.54,0.0896,61,132,193
"7841",4,"Nov",332,"8",0,1,1,"cloudy/misty",0.42,0.4242,0.94,0,13,394,407
"8248",4,"Dec",349,"7",0,4,1,"clear",0.32,0.3182,0.7,0.194,6,252,258
"1070",1,"Feb",48,"7",0,4,1,"clear",0.32,0.3333,NA,0.1045,7,119,126
"4486",3,"July",191,"19",0,0,0,"clear",0.8,0.7424,0.49,0.3284,120,183,303
"2396",2,"April",104,"17",0,4,1,"clear",0.6,0.6061,0.28,0,50,338,388
"3367",2,"May",145,"4",0,3,1,"clear",0.54,0.5152,1,0.1045,0,3,3
"1628",1,"March",72,"8",0,0,0,"clear",0.4,0.4091,0.5,0.2985,11,23,34
"887",1,"Feb",40,"10",0,3,1,"clear",0.14,0.1818,0.36,0,8,51,59
"5344",3,"Aug",227,"13",0,1,1,"clear",0.78,0.7121,0.52,0.2836,53,140,193
"7459",4,"Nov",316,"9",0,6,0,"clear",0.3,0.303,0.61,0.1642,18,142,160
"2631",2,"April",114,"12",0,0,0,"clear",0.68,0.6364,0.65,0.2537,168,220,388
"5645",3,"Aug",240,"15",0,0,0,"clear",0.78,0.697,0.43,0.3582,155,314,469
"2618",2,"April",113,"23",0,6,0,"cloudy/misty",0.54,0.5152,0.88,0.1642,31,86,117
"8158",4,"Dec",345,"13",0,0,0,"clear",0.3,0.3333,0.31,0,44,224,268
"2998",2,"May",129,"19",0,1,1,"clear",0.58,0.5455,0.43,0.194,45,339,384
"422",1,"Jan",19,"14",0,3,1,"clear",0.4,0.4091,0.58,0.2537,7,68,75
"3589",2,"June",154,"10",0,5,1,"clear",0.62,0.6212,NA,0.2537,54,107,161
"1554",1,"March",69,"2",0,4,1,"light rain/snow",0.34,0.3182,0,0.2537,0,1,1
"6445",4,"Oct",274,"2",0,6,0,"clear",0.46,0.4545,0.63,0.4179,21,46,67
"3950",2,"June",169,"11",0,6,0,"clear",0.72,0.6818,0.62,0.1343,134,270,404
"857",1,"Feb",39,"3",0,2,1,"light rain/snow",0.28,0.2727,0.93,0.1642,0,1,1
"5143",3,"Aug",219,"4",0,0,0,"clear",0.7,0.6667,0.84,0.1343,1,5,6
"1545",1,"March",68,"17",0,3,1,"cloudy/misty",0.34,0.303,NA,0.2985,18,176,194
"1443",1,"March",64,"9",0,6,0,"cloudy/misty",0.32,0.303,0.93,0.2239,15,48,63
"2454",2,"April",107,"3",0,0,0,"clear",0.4,0.4091,0.66,0.1343,12,13,25
"1128",1,"Feb",50,"17",0,6,0,"clear",0.42,0.4242,0.19,0.6119,36,91,127
"5494",3,"Aug",233,"19",0,0,0,"clear",0.72,0.6818,0.7,0.2537,81,201,282
"262",1,"Jan",12,"8",0,3,1,"clear",0.16,0.1667,0.59,0.1642,3,125,128
"5282",3,"Aug",224,"23",0,5,1,"clear",0.68,0.6364,NA,0,51,100,151
"8354",4,"Dec",353,"17",0,1,1,"clear",0.38,0.3939,0.46,0.194,16,362,378
"1112",1,"Feb",50,"1",0,6,0,"clear",0.46,0.4545,NA,0.4179,10,21,31
"7917",4,"Dec",335,"12",0,4,1,"clear",0.36,0.3485,0.46,0.2239,9,139,148
"6121",3,"Sept",260,"14",0,6,0,"cloudy/misty",0.52,0.5,0.72,0.194,123,174,297
"8123",4,"Dec",344,"2",0,6,0,"cloudy/misty",0.28,0.303,0.61,0.0896,12,48,60
"6879",4,"Oct",292,"5",0,3,1,"light rain/snow",0.5,0.4848,1,0.1045,0,3,3
"1597",1,"March",71,"0",0,6,0,"clear",0.26,0.2727,0.6,0.1343,4,30,34
"1007",1,"Feb",45,"14",0,1,1,"clear",0.6,0.5909,0.15,0.4925,14,76,90
"691",1,"Feb",32,"2",0,2,1,"cloudy/misty",0.16,0.2273,NA,0,0,2,2
"2175",2,"April",95,"11",0,2,1,"light rain/snow",0.32,0.2879,NA,0.4478,1,18,19
"597",1,"Jan",28,"1",0,5,1,"cloudy/misty",0.2,0.2121,0.75,0.1343,1,2,3
"4283",3,"July",183,"8",0,6,0,"clear",0.68,0.6364,0.57,0,38,94,132
"8479",1,"Dec",358,"22",0,6,0,"clear",0.24,0.2879,0.52,0,8,12,20
"4438",3,"July",189,"19",0,5,1,"clear",0.66,0.6061,0.83,0.0896,45,225,270
"3348",2,"May",144,"9",0,2,1,"cloudy/misty",0.64,0.6061,0.73,0.194,27,111,138
"8021",4,"Dec",339,"20",0,1,1,"cloudy/misty",0.46,0.4545,0.82,0.1045,15,190,205
"3633",2,"June",156,"6",0,0,0,"cloudy/misty",0.62,0.6061,0.61,0.1045,10,11,21
"82",1,"Jan",4,"13",0,2,1,"clear",0.24,0.2273,0.56,0.194,18,79,97
"5741",3,"Sept",244,"15",0,4,1,"clear",0.72,0.6667,0.51,0.1343,39,135,174
"4829",3,"July",206,"2",0,1,1,"cloudy/misty",0.74,0.7121,0.79,0.0896,3,3,6
"8105",4,"Dec",343,"8",0,5,1,"clear",0.24,0.2879,0.81,0,7,378,385
"7554",4,"Nov",320,"8",0,3,1,"light rain/snow",0.46,0.4545,0.94,0,9,223,232
"4603",3,"July",196,"16",0,5,1,"clear",0.72,0.6667,NA,0.194,96,265,361
"4139",3,"June",177,"8",0,0,0,"clear",0.64,0.6212,0.61,0.194,29,78,107
"6325",4,"Sept",269,"2",0,1,1,"cloudy/misty",0.62,0.5606,0.88,0.1045,4,4,8
"6726",4,"Oct",285,"19",0,3,1,"light rain/snow",0.54,0.5152,0.94,0.1343,7,102,109
"5039",3,"Aug",214,"20",0,2,1,"cloudy/misty",0.82,0.7576,0.46,0.2537,40,248,288
"6996",4,"Oct",297,"2",0,1,1,"clear",0.4,0.4091,0.87,0.1045,1,6,7
"6581",4,"Oct",279,"18",0,4,1,"clear",0.54,0.5152,0.64,0.0896,59,479,538
"2946",2,"May",127,"15",0,6,0,"clear",0.6,0.6212,0.38,0.2537,148,230,378
"119",1,"Jan",6,"4",0,4,1,"cloudy/misty",0.16,0.197,0.64,0.0896,0,1,1
"6032",3,"Sept",256,"21",0,2,1,"clear",0.64,0.5909,0.78,0.1642,45,200,245
"7523",4,"Nov",319,"1",0,2,1,"clear",0.56,0.5303,0.6,0.2985,5,5,10
"3965",2,"June",170,"2",0,0,0,"clear",0.68,0.6364,0.74,0.0896,13,59,72
"236",1,"Jan",11,"2",0,2,1,"cloudy/misty",0.16,0.1515,NA,0.194,0,3,3
"8491",1,"Dec",359,"11",0,0,0,"clear",0.3,0.303,NA,0.1642,43,42,85
"500",1,"Jan",22,"21",0,6,0,"clear",0.06,0.1061,0.41,0.0896,0,39,39
"5545",3,"Aug",235,"22",0,2,1,"clear",0.62,0.6212,0.57,0.1343,46,145,191
"270",1,"Jan",12,"16",0,3,1,"clear",0.22,0.197,NA,0.3284,5,63,68
"8564",1,"Dec",362,"14",0,3,1,"clear",0.32,0.2879,0.39,0.3881,24,96,120
"7508",4,"Nov",318,"10",0,1,1,"cloudy/misty",0.5,0.4848,0.63,0.2836,26,85,111
"6736",4,"Oct",286,"5",0,4,1,"cloudy/misty",0.54,0.5152,1,0.1045,1,16,17
"7670",4,"Nov",325,"4",0,1,1,"light rain/snow",0.44,0.4394,1,0.1343,0,5,5
"5253",3,"Aug",223,"18",0,4,1,"clear",0.78,0.6818,0.29,0.0896,74,497,571
"7645",4,"Nov",324,"3",0,0,0,"cloudy/misty",0.4,0.4091,0.66,0.2836,6,31,37
"1834",2,"March",81,"3",0,2,1,"clear",0.44,0.4394,NA,0.2239,3,2,5
"2967",2,"May",128,"12",0,0,0,"clear",0.6,0.6212,0.46,0.0896,139,243,382
"2506",2,"April",109,"7",0,2,1,"cloudy/misty",0.52,0.5,NA,0,22,166,188
"5740",3,"Sept",244,"14",0,4,1,"light rain/snow",0.72,0.6667,NA,0.2537,54,144,198
"5047",3,"Aug",215,"4",0,3,1,"cloudy/misty",0.76,0.697,NA,0.1642,0,7,7
"6775",4,"Oct",287,"20",0,5,1,"clear",0.52,0.5,0.42,0.194,19,177,196
"4159",3,"June",178,"4",0,1,1,"cloudy/misty",0.6,0.5606,0.83,0.1642,1,8,9
"8122",4,"Dec",344,"1",0,6,0,"cloudy/misty",0.26,0.2576,NA,0.1642,11,55,66
"8217",4,"Dec",348,"0",0,3,1,"clear",0.26,0.303,0.75,0,0,22,22
"4445",3,"July",190,"2",0,6,0,"clear",0.64,0.5758,0.89,0.1642,12,43,55
"4328",3,"July",185,"5",1,1,0,"cloudy/misty",0.64,0.5758,NA,0.1343,1,3,4
"425",1,"Jan",19,"17",0,3,1,"clear",0.36,0.3333,0.57,0.3284,7,190,197
"1180",1,"Feb",52,"22",1,1,0,"light rain/snow",0.2,0.1667,0.75,0.4179,0,11,11
"58",1,"Jan",3,"12",0,1,1,"clear",0.22,0.2121,0.35,0.2985,13,48,61
"5558",3,"Aug",236,"11",0,3,1,"clear",0.72,0.6667,NA,0.2985,57,128,185
"172",1,"Jan",8,"10",0,6,0,"cloudy/misty",0.18,0.197,0.8,0.1642,5,56,61
"1632",1,"March",72,"12",0,0,0,"clear",0.46,0.4545,0.38,0.3881,74,120,194
"6935",4,"Oct",294,"13",0,5,1,"clear",0.48,0.4697,0.48,0.3284,43,163,206
"1813",2,"March",80,"6",0,1,1,"light rain/snow",0.32,0.303,0.76,0.2537,2,30,32
"7421",4,"Nov",314,"19",0,4,1,"cloudy/misty",0.36,0.3485,0.71,0.2239,19,192,211
"5437",3,"Aug",231,"10",0,5,1,"clear",0.72,0.6818,0.62,0.0896,57,108,165
"7163",4,"Oct",304,"1",0,1,1,"clear",0.26,0.303,0.81,0,5,8,13
"4716",3,"July",201,"9",0,3,1,"clear",0.74,0.697,NA,0.0896,28,181,209
"7585",4,"Nov",321,"15",0,4,1,"cloudy/misty",0.34,0.303,0.49,0.4478,10,106,116
"5630",3,"Aug",239,"11",0,6,0,"light rain/snow",0.66,0.5909,0.89,0.4179,15,73,88
"4756",3,"July",203,"1",0,5,1,"clear",0.8,0.7879,0.63,0,7,17,24
"7107",4,"Oct",301,"17",0,5,1,"cloudy/misty",0.36,0.3485,0.5,0.1343,35,411,446
"7510",4,"Nov",318,"12",0,1,1,"clear",0.56,0.5303,0.56,0.2985,36,166,202
"8064",4,"Dec",341,"15",0,3,1,"light rain/snow",0.42,0.4242,0.94,0.2239,5,25,30
"6792",4,"Oct",288,"13",0,6,0,"clear",0.6,0.6212,NA,0.4627,171,223,394
"1965",2,"March",86,"16",0,0,0,"clear",0.34,0.3333,0.34,0,45,98,143
"438",1,"Jan",20,"6",0,4,1,"clear",0.22,0.2121,NA,0.2239,0,35,35
"1885",2,"March",83,"7",0,4,1,"light rain/snow",0.26,0.2576,1,0.2239,2,106,108
"6408",4,"Sept",272,"13",0,4,1,"clear",0.64,0.6212,0.61,0.194,36,175,211
"3267",2,"May",141,"0",0,6,0,"clear",0.52,0.5,0.77,0.1045,20,78,98
"1314",1,"Feb",58,"22",0,0,0,"cloudy/misty",0.38,0.3939,0.62,0.1045,2,67,69
"382",1,"Jan",17,"9",1,1,0,"cloudy/misty",0.16,0.1515,0.47,0.2239,8,39,47
"5807",3,"Sept",247,"9",0,0,0,"clear",0.66,0.6061,0.78,0.1642,87,102,189
"7507",4,"Nov",318,"9",0,1,1,"cloudy/misty",0.48,0.4697,0.67,0.3284,29,204,233
"176",1,"Jan",8,"14",0,6,0,"clear",0.2,0.1667,NA,0.4925,12,83,95
"8451",1,"Dec",357,"18",0,5,1,"clear",0.36,0.3333,0.5,0.2537,4,91,95
"6348",4,"Sept",270,"1",0,2,1,"clear",0.62,0.5455,0.94,0.1642,4,6,10
"2496",2,"April",108,"21",0,1,1,"clear",0.56,0.5303,0.37,0.2836,20,131,151
"1437",1,"March",64,"3",0,6,0,"cloudy/misty",0.3,0.2879,0.87,0.194,0,2,2
"5217",3,"Aug",222,"6",0,3,1,"clear",0.68,0.6364,0.61,0,9,110,119
"7403",4,"Nov",314,"1",0,4,1,"cloudy/misty",0.4,0.4091,0.87,0,1,10,11
"3799",2,"June",163,"4",0,0,0,"clear",0.62,0.5606,NA,0.1642,8,6,14
"812",1,"Feb",37,"6",0,0,0,"clear",0.26,0.2576,0.6,0.2239,0,1,1
"7133",4,"Oct",302,"19",0,6,0,"clear",0.24,0.2121,0.87,0.3582,3,36,39
"1657",1,"March",73,"14",0,1,1,"cloudy/misty",0.38,0.3939,0.34,0,27,52,79
"1018",1,"Feb",46,"1",0,2,1,"clear",0.3,0.2424,NA,0.7761,0,5,5
"455",1,"Jan",20,"23",0,4,1,"cloudy/misty",0.24,0.2121,0.65,0.3284,3,28,31
"378",1,"Jan",17,"5",1,1,0,"cloudy/misty",0.18,0.197,0.43,0.1642,0,1,1
"7243",4,"Nov",307,"9",0,4,1,"cloudy/misty",0.36,0.3485,NA,0.194,9,155,164
"3539",2,"June",152,"8",0,3,1,"cloudy/misty",0.72,0.697,0.79,0.194,37,417,454
"4394",3,"July",187,"23",0,3,1,"clear",0.68,0.6364,0.83,0.2239,20,78,98
"4797",3,"July",204,"18",0,6,0,"clear",0.92,0.8788,0.4,0.2239,62,134,196
"1469",1,"March",65,"12",0,0,0,"cloudy/misty",0.46,0.4545,0.94,0.3284,10,69,79
"3006",2,"May",130,"3",0,2,1,"clear",0.44,0.4394,0.54,0.194,1,3,4
"2984",2,"May",129,"5",0,1,1,"clear",0.42,0.4242,0.77,0.1642,0,23,23
"2021",2,"March",89,"1",0,3,1,"clear",0.32,0.3485,0.39,0,1,9,10
"8055",4,"Dec",341,"6",0,3,1,"light rain/snow",0.48,0.4697,1,0.4179,0,18,18
"2269",2,"April",99,"9",0,6,0,"cloudy/misty",0.34,0.3485,NA,0.1045,27,71,98
"6668",4,"Oct",283,"9",1,1,0,"clear",0.54,0.5152,0.77,0,58,161,219
"2333",2,"April",102,"2",0,2,1,"cloudy/misty",0.6,0.6212,NA,0.1343,7,7,14
"6730",4,"Oct",285,"23",0,3,1,"light rain/snow",0.54,0.5152,0.94,0.0896,13,41,54
"7118",4,"Oct",302,"4",0,6,0,"light rain/snow",0.3,0.2727,0.81,0.4179,0,1,1
"4519",3,"July",193,"4",0,2,1,"clear",0.7,0.6667,NA,0.1642,0,6,6
"4504",3,"July",192,"13",0,1,1,"clear",0.86,0.8182,0.5,0.2537,22,119,141
"6949",4,"Oct",295,"3",0,6,0,"clear",0.4,0.4091,0.62,0.1343,1,19,20
"8372",4,"Dec",354,"11",0,2,1,"cloudy/misty",0.4,0.4091,0.62,0.1642,13,116,129
"2787",2,"May",121,"0",0,0,0,"clear",0.42,0.4242,0.67,0.0896,19,77,96
"5685",3,"Aug",242,"7",0,2,1,"clear",0.56,0.5303,0.68,0.1343,19,338,357
"6654",4,"Oct",282,"19",0,0,0,"clear",0.56,0.5303,0.73,0.0896,116,186,302
"6368",4,"Sept",270,"21",0,2,1,"clear",0.6,0.5606,NA,0,17,179,196
"1092",1,"Feb",49,"5",0,5,1,"cloudy/misty",0.46,0.4545,0.67,0.1045,1,6,7
"5733",3,"Sept",244,"7",0,4,1,"clear",0.6,0.5758,0.78,0,7,335,342
"1670",1,"March",74,"4",0,2,1,"clear",0.24,0.2576,0.75,0.0896,1,1,2
"2740",2,"April",119,"1",0,5,1,"clear",0.5,0.4848,NA,0.0896,10,21,31
"5544",3,"Aug",235,"21",0,2,1,"clear",0.62,0.6212,0.57,0,38,173,211
"6734",4,"Oct",286,"3",0,4,1,"cloudy/misty",0.54,0.5152,1,0.194,2,4,6
"4607",3,"July",196,"20",0,5,1,"clear",0.7,0.6515,0.51,0.2239,92,251,343
"1994",2,"March",87,"22",0,1,1,"clear",0.3,0.2879,0.22,0.2239,0,40,40
"1254",1,"Feb",56,"9",0,5,1,"light rain/snow",0.34,0.303,0.93,0.3582,3,111,114
"380",1,"Jan",17,"7",1,1,0,"cloudy/misty",0.16,0.1818,NA,0.1343,4,9,13
"5721",3,"Aug",243,"19",0,3,1,"clear",0.84,0.7727,0.47,0.2537,53,393,446
"6318",4,"Sept",268,"19",0,0,0,"clear",0.64,0.5758,0.83,0.1343,87,242,329
"5367",3,"Aug",228,"12",0,2,1,"clear",0.76,0.6818,0.48,0.3284,42,120,162
