"","name","sex","event","equipment","age","age_class","division","bodyweight_kg","weight_class_kg","best3squat_kg","best3bench_kg","best3deadlift_kg","place","date","federation","meet_name"
"374","Alena Maňáková","F","SBD","Single-ply",19.5,"20-23","Juniors",76.2,"82.5",150,80,170,"4","1997-09-12","IPF","World Juniors Powerlifting Championships"
"375","John Russell","M","SBD","Single-ply",59.5,"55-59","Masters 3",73.5,"75",232.5,135,215,"2","2006-10-02","IPF","World Masters Powerlifting Championships"
"376","Ana de Joux","F","SBD","Raw",39.5,"35-39","Masters 1",83.5,"84",132.5,75,170,"10","2019-06-04","IPF","World Classic Powerlifting Championships"
"377","Emily Ho","F","SBD","Raw",22.5,"20-23","Juniors",46.64,"47",117.5,65,115,"4","2018-06-06","IPF","6th World Classic Championships"
"378","Daniel Gaudreau","M","SBD","Single-ply",52.5,"50-54","Masters 2",154.06,"120+",350,292.5,282.5,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"379","Shinjun Oshiro","M","SBD","Single-ply",69.5,"65-69","Masters 4",56.74,"59",155,117.5,155,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"380","Yulia Chistiakova","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",68.1,"75",185,117.5,155,"1","2007-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"381","Teemu Hällfors","M","SBD","Raw",20.5,"20-23","Juniors",82.22,"83",225,167.5,250,"9","2016-06-19","IPF","World Classic Powerlifting Championships"
"382","Vilma Ochoa Vargas","F","SBD","Single-ply",27.5,"24-34","Open",51.54,"52",187.5,90,177.5,"3","2008-10-30","IPF","World Powerlifting Championships"
"383","Krister Renman","M","SBD","Single-ply",22.5,"20-23","Juniors",67,"67.5",232.5,132.5,230,"4","1989-09-14","IPF","World Juniors Powerlifting Championships"
"384","Adalgiso Sicoli","M","SBD","Single-ply",42.5,"40-44","Masters 1",99.9,"100",300,185,270,"7","2003-10-08","IPF","World Masters Powerlifting Championships"
"385","Olena Kozlova","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",75.34,"82.5",221,115,225,"1","2008-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"386","Mark Cullimore","M","SBD","Single-ply",22.5,"20-23","Juniors",100,"100",300,185,300,"1","1988-09-07","IPF","World Juniors Powerlifting Championships"
"387","Mike Haffenbrack","M","SBD","Single-ply",21.5,"20-23","Juniors",59,"60",215,135,217.5,"1","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"388","Richard Lettner","M","SBD","Single-ply",31.5,"24-34","Open",74.75,"75",270,175,260,"11","2006-11-05","IPF","World Powerlifting Championships"
"389","Vladislav Tereshchenko","M","SBD","Single-ply",16.5,"16-17","Sub-Juniors",104.28,"105",320,215,285,"1","2013-08-27","IPF","World Juniors & Sub-Juniors Championships"
"390","Yekaterina Tanakova","F","SBD","Single-ply",29.5,"24-34","Open",67.15,"67.5",222.5,112.5,200,"1","1994-05-25","IPF","Women's World Powerlifting Championships"
"391","Göran Hermansson","M","SBD","Raw",62.5,"60-64","Masters 3",126.6,"120+",160,135,200,"5","2019-06-04","IPF","World Classic Powerlifting Championships"
"392","P. Patar","M","SBD","Single-ply",18.5,"18-19","Juniors",51.2,"52",200,130,195,"2","1994-06-18","IPF","World Juniors Powerlifting Championships"
"393","Iván Cancel","M","SBD","Single-ply",31.5,"24-34","Open",58.68,"59",240,162.5,225,"6","2014-11-03","IPF","World Powerlifting Championships"
"394","Lucien DeFaria","M","SBD","Single-ply",39,"35-39","Open",59.9,"60",165,130,230,"4","1981-11-05","IPF","Men's World Powerlifting Championships"
"395","Ryuji Nakamura","M","SBD","Raw",33.5,"24-34","Open",73.77,"74",182.5,160,220,"15","2015-06-05","IPF","World Classic Powerlifting Championships"
"396","Ab Wolders","M","SBD","Single-ply",62.5,"60-64","Masters 3",115.53,"120",280.5,190,270,"1","2014-09-21","IPF","World Masters Powerlifting Championships"
"397","Grete Gagnæs","F","SBD","Single-ply",19.5,"20-23","Open",52,"52",107.5,55,122.5,"8","1982-05-07","IPF","Women's World Powerlifting Championships"
"398","Jiří Váchal","M","SBD","Raw",24.5,"24-34","Open",91.86,"93",247.5,152.5,290,"5","2019-07-22","IPF","University Powerlifting Cup"
"399","Jari Martikainen","M","SBD","Single-ply",40.5,"40-44","Open",144.43,"120+",375,245,360,"9","2016-11-14","IPF","World Open Championships"
"400","Ekaterina Kryukova","F","SBD","Single-ply",29.5,"24-34","Open",71.35,"72",210,142.5,190,"6","2015-11-09","IPF","World Powerlifting Championships"
"401","Marjaana Vähäsantanen","F","SBD","Raw",40.5,"40-44","Masters 1",62.49,"63",140,77.5,142.5,"3","2017-06-14","IPF","World Classic Powerlifting Championships"
"402","Alfonso Orozco Ramirez Edgar","M","SBD","Raw",29.5,"24-34","Open",82.17,"83",225,180,265,"9","2018-06-06","IPF","6th World Classic Championships"
"403","Shu-Ting Lin","F","SBD","Single-ply",22,"20-23","Open",55.7,"56",145,95,165,"3","2000-05-24","IPF","Women's World Powerlifting Championships"
"404","Minako Kaneda","F","SBD","Single-ply",21.5,"20-23","Juniors",52.2,"56",130,80,150,"3","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"405","Daphne Jyothi","F","SBD","Single-ply",22.5,"20-23","Juniors",91.8,"90+",130,50,150,"3","1994-06-18","IPF","World Juniors Powerlifting Championships"
"406","Eila Kumpuniemi","F","SBD","Single-ply",49.5,"45-49","Masters 1",51.25,"52",100,57.5,125,"3","1992-09-03","IPF","World Masters Powerlifting Championships"
"407","Russel Orhii","M","SBD","Raw",24.5,"24-34","Open",82.25,"83",313,195,325,"1","2019-06-04","IPF","World Classic Powerlifting Championships"
"408","Steph Puddicome","F","SBD","Raw",27.5,"24-34","Open",46.05,"47",115,52.5,152.5,"3","2014-06-01","IPF","World Classic Powerlifting Championships"
"409","Jamey Grotjahn","M","SBD","Raw",41.5,"40-44","Masters 1",160.7,"120+",260,222.5,307.5,"3","2016-06-19","IPF","World Classic Powerlifting Championships"
"410","Timo Orava","M","SBD","Single-ply",42.5,"40-44","Masters 1",73.9,"74",215,140,230,"8","2017-10-01","IPF","World Masters Powerlifting Championships"
"411","Dmitriy Panin","M","SBD","Single-ply",21.5,"20-23","Open",55.8,"56",200,115,205,"2","2002-04-12","IPF","World Students Cup"
"412","Véronique Gaillard","F","SBD","Raw",51.5,"50-54","Masters 2",51.06,"52",102.5,50,95,"4","2018-06-06","IPF","6th World Classic Championships"
"413","Teresita Frisbee","F","SBD","Single-ply",47.5,"45-49","Masters 1",73.6,"90",137.5,80,142.5,"4","1995-10-03","IPF","World Masters Powerlifting Championships"
"414","Brad Peters","M","SBD","Single-ply",21.5,"20-23","Juniors",59.5,"60",162.5,100,187.5,"11","1998-10-21","IPF","World Juniors Powerlifting Championships"
"415","Sandra Szangolis","F","SBD","Single-ply",27.5,"24-34","Open",54.6,"56",157.5,75,165,"8","1998-05-23","IPF","Women's World Powerlifting Championships"
"416","Jim Dulling","M","SBD","Single-ply",64.5,"60-64","Masters 3",102.57,"105",190,155,235,"6","2014-09-21","IPF","World Masters Powerlifting Championships"
"417","Dina Power","F","SBD","Raw",23.5,"24-34","Open",71.23,"72",135,60,175,"14","2018-06-06","IPF","6th World Classic Championships"
"418","Øysten Ruyter","M","SBD","Single-ply",22.5,"20-23","Juniors",67.5,"67.5",222.5,145,210,"8","1988-09-07","IPF","World Juniors Powerlifting Championships"
"419","Sharoni","M","SBD","Single-ply",20.5,"20-23","Juniors",73.9,"75",270,135,310,"1","1993-10-29","IPF","World Juniors Powerlifting Championships"
"420","Henrique Prado","M","SBD","Single-ply",22.5,"20-23","Open",58.8,"60",190,130,210,"9","2006-11-05","IPF","World Powerlifting Championships"
"421","Rait Sagor","M","SBD","Single-ply",18,"18-19","Sub-Juniors",94.52,"100",295,195,300,"1","2008-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"422","Carlos Bolaños","M","SBD","Single-ply",54.5,"50-54","Masters 2",110.4,"125",245,130,260,"3","2002-10-08","IPF","World Masters Powerlifting Championships"
"423","Regina Hackney","F","SBD","Single-ply",61.5,"60-64","Masters 2",68.2,"75",105,60,137.5,"2","2001-10-17","IPF","World Masters Powerlifting Championships"
"424","Jenis Joseph","F","SBD","Single-ply",18.5,"18-19","Open",66.6,"67.5",130,52.5,135,"10","2006-11-05","IPF","World Powerlifting Championships"
"425","Petri Muhonen","M","SBD","Single-ply",21.5,"20-23","Juniors",129.3,"125+",320,215,290,"2","1996-08-07","IPF","World Juniors Powerlifting Championships"
"426","Richard Batchelor","M","SBD","Single-ply",20.5,"20-23","Juniors",66.4,"67.5",232.5,132.5,257.5,"2","1995-07-23","IPF","World Juniors Powerlifting Championships"
"427","Kristián Slíž","M","SBD","Single-ply",22.5,"20-23","Juniors",91.1,"93",302.5,200,295,"5","2018-09-03","IPF","World Juniors & Sub-Juniors Championships"
"428","Li-Min Lin","F","SBD","Single-ply",21.5,"20-23","Juniors",47.35,"52",137.5,72.5,135,"1","1992-09-08","IPF","World Juniors Powerlifting Championships"
"429","Viljo Karvinen","M","SBD","Single-ply",52.5,"50-54","Masters 2",67.5,"67.5",185,130,235,"1","1989-08-11","IPF","World Masters Powerlifting Championships"
"430","Helen White","F","SBD","Raw",71,"70-74","Masters 4",60.8,"63",80,57.5,117.5,"1","2016-06-19","IPF","World Classic Powerlifting Championships"
"431","Tapani Laitala","M","SBD","Single-ply",52.5,"50-54","Masters 2",112.96,"120",290,230,265,"2","2016-10-03","IPF","World Masters Championships"
"432","Victoria Karlysheva","F","SBD","Single-ply",24.5,"24-34","Open",56.7,"57",215,120,190,"3","2018-11-05","IPF","48th World Open Championships"
"433","Chung-Liang Chiu","M","SBD","Single-ply",29.5,"24-34","Open",59.3,"60",220,132.5,260,"6","2004-11-09","IPF","Men's World Powerlifting Championships"
"434","Dave Jacoby","M","SBD","Single-ply",28.5,"24-34","Open",106.7,"110",352.5,212.5,342.5,"1","1985-11-07","IPF","Men's World Powerlifting Championships"
"435","Vijay Choudhary","M","SBD","Single-ply",34.5,"24-34","Open",86.53,"93",120,115,160,"16","2015-11-09","IPF","World Powerlifting Championships"
"436","Charlie Shotton-Gale","F","SBD","Raw",30.5,"24-34","Open",84,"84",155,85,170,"6","2014-06-01","IPF","World Classic Powerlifting Championships"
"437","Róbert Valach","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",108.3,"110",310,182.5,307.5,"2","2010-09-27","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"438","Martin Engquist","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",82.8,"83",290,147.5,285,"3","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"439","Anita Kidgell","F","SBD","Raw",46.5,"45-49","Masters 1",49.53,"52",75,52.5,110,"5","2015-06-05","IPF","World Classic Powerlifting Championships"
"440","Jim Waters","M","SBD","Single-ply",61.5,"60-64","Masters 3",82,"82.5",142.5,100,207.5,"6","2003-10-08","IPF","World Masters Powerlifting Championships"
"441","Ryan Stinn","M","SBD","Single-ply",34.5,"24-34","Open",141.5,"120+",385,275,295,"10","2016-11-14","IPF","World Open Championships"
"442","Timo Rantala","M","SBD","Raw",53.5,"50-54","Masters 2",124.87,"120+",185,155,215,"6","2017-06-14","IPF","World Classic Powerlifting Championships"
"443","A-Yun Lin","F","SBD","Raw",70.5,"70-74","Open",54.6,"57",80,52.5,120,"10","2016-06-19","IPF","World Classic Powerlifting Championships"
"444","Hiroki Ikegami","M","SBD","Raw",21,"20-23","Open",66.45,"74",170,115,215,"13","2012-06-12","IPF","World Classic Powerlifting Cup"
"445","Tania Green","F","SBD","Single-ply",30.5,"24-34","Open",55.3,"56",107.5,82.5,122.5,"9","2002-05-29","IPF","Women's World Powerlifting Championships"
"446","Elvira Lorenzo Maria","F","SBD","Single-ply",41.5,"40-44","Open",51.1,"52",105,57.5,137.5,"15","2007-10-14","IPF","World Powerlifting Championships"
"447","Charles Okpoko","M","SBD","Single-ply",20.5,"20-23","Open",65.74,"66",307.5,200,257.5,"2","2016-11-14","IPF","World Open Championships"
"448","Viktor Baranov","M","SBD","Single-ply",32.5,"24-34","Open",73.3,"75",310,177.5,302.5,"2","2000-11-15","IPF","Men's World Powerlifting Championships"
"449","Matt Goldin","M","SBD","Single-ply",22.5,"20-23","Juniors",89.5,"90",290,172.5,290,"5","2003-09-09","IPF","World Juniors Powerlifting Championships"
"450","Keren Feliciano","F","SBD","Single-ply",24.5,"24-34","Open",46.7,"48",100,52.5,135,"8","2003-05-22","IPF","Women's World Powerlifting Championships"
"451","Zarifa Kozlan","F","SBD","Single-ply",51,"50-54","Masters 2",67.8,"75",167.5,90,172.5,"DD","2003-10-08","IPF","World Masters Powerlifting Championships"
"452","Leopold Krendl","M","SBD","Single-ply",38.5,"35-39","Open",124.3,"125",370,202.5,335,"3","1996-12-14","IPF","Men's World Powerlifting Championships"
"453","Seiichi Mashimo","M","SBD","Single-ply",55.5,"55-59","Masters 2",58.2,"60",160,97.5,172.5,"2","2003-10-08","IPF","World Masters Powerlifting Championships"
"454","Akinori Yasukura","M","SBD","Single-ply",54.5,"50-54","Masters 2",73.22,"74",205,142.5,180,"9","2013-09-24","IPF","World Masters Powerlifting Championships"
"455","Alexander Kirketeig","M","SBD","Raw",37.5,"35-39","Open",92.83,"93",270,185,290,"10","2017-06-14","IPF","World Classic Powerlifting Championships"
"456","Guy Devrien","M","SBD","Single-ply",21.5,"20-23","Juniors",81,"82.5",260,130,265,"7","1985-09-20","IPF","World Juniors Powerlifting Championships"
"457","Shin-Wu Lu","M","SBD","Single-ply",25.5,"24-34","Open",55.6,"56",230,110,245,"1","2001-04-22","IPF","Student's World Cup"
"458","Francois Maritz","M","SBD","Raw",23.5,"24-34","Open",110.25,"120",305,192.5,302.5,"1","2017-07-10","IPF","World University Powerlifting Cup"
"459","Marina Cornwall","F","SBD","Single-ply",59.5,"55-59","Masters 3",45.34,"47",77.5,47.5,120,"2","2014-09-21","IPF","World Masters Powerlifting Championships"
"460","Joe Dalton","M","SBD","Single-ply",49.5,"45-49","Masters 2",110,"110",250,160,245,"1","1989-08-11","IPF","World Masters Powerlifting Championships"
"461","Tony Ekblad","M","SBD","Single-ply",41.5,"40-44","Masters 1",122.6,"125",300,235,250,"7","2007-06-10","IPF","World Masters Powerlifting Championships"
"462","Chui-Hua Hsieh","F","SBD","Single-ply",20.5,"20-23","Open",75.8,"82.5",220,122.5,205,"2","2001-05-24","IPF","Women's World Powerlifting Championships"
"463","Bill Helmich","M","SBD","Single-ply",70.5,"70-74","Masters 4",104.48,"105",195,155,253,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"464","Judith Reitmann","F","SBD","Raw",50.5,"50-54","Masters 2",94.05,"84+",177.5,105,182.5,"1","2018-06-06","IPF","6th World Classic Championships"
"465","Volha Yermalitskaya","F","SBD","Raw",19.5,"20-23","Juniors",41.86,"43",92.5,57.5,117.5,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"466","Dean Johnson","M","SBD","Raw",41.5,"40-44","Masters 1",90.86,"93",250,145,237.5,"6","2017-06-14","IPF","World Classic Powerlifting Championships"
"467","Dana Matejova","F","SBD","Single-ply",31.5,"24-34","Open",59.9,"60",205,117.5,175,"4","2007-10-14","IPF","World Powerlifting Championships"
"468","Yves Garcia","M","SBD","Single-ply",40,"40-44","Open",59.2,"60",185,130,212.5,"8","1982-11-04","IPF","Men's World Powerlifting Championships"
"469","Regie Ramirez","M","SBD","Single-ply",21.5,"20-23","Juniors",58,"59",220,142.5,247.5,"4","2015-08-31","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"470","Miroslav Koprnicky","M","SBD","Raw",66.5,"65-69","Masters 3",99.49,"105",182.5,150,205,"7","2018-06-06","IPF","6th World Classic Championships"
"471","Tetyana Akhmamyetyeva","F","SBD","Single-ply",25.5,"24-34","Open",62.61,"63",230,145,207.5,"2","2011-11-08","IPF","World Powerlifting Championships"
"472","Birgit Lenander","F","SBD","Single-ply",26.5,"24-34","Open",63.45,"67.5",125,62.5,140,"18","1999-05-19","IPF","Women's World Powerlifting Championships"
"473","Ketil Hodne","M","SBD","Single-ply",52.5,"50-54","Masters 2",80.7,"82.5",170,120,200,"10","2000-10-17","IPF","World Masters Powerlifting Championships"
"474","Dana Matejova","F","SBD","Single-ply",20.5,"20-23","Juniors",55.9,"56",157.5,92.5,147.5,"3","1996-08-07","IPF","World Juniors Powerlifting Championships"
"475","Dmytro Solovyov","M","SBD","Single-ply",32.5,"24-34","Open",81.4,"82.5",325,232.5,310,"DQ","2003-11-04","IPF","Men's World Powerlifting Championships"
"476","Carol Anthony","F","SBD","Raw",52,"50-54","Masters 2",51.95,"52",77.5,45,120,"6","2019-06-04","IPF","World Classic Powerlifting Championships"
"477","Ramon Miranda","M","SBD","Single-ply",41.5,"40-44","Masters 1",97.5,"100",260,182.5,247.5,"11","2009-09-28","IPF","World Masters Powerlifting Championships"
"478","Anna-Liisa Prinkkala","F","SBD","Single-ply",43.5,"40-44","Open",43.7,"44",142.5,65,160,"3","1999-05-19","IPF","Women's World Powerlifting Championships"
"479","Natalia Salnikova","F","SBD","Single-ply",24.5,"24-34","Open",50.33,"52",195,127.5,170,"1","2011-11-08","IPF","World Powerlifting Championships"
"480","Yukako Fukushima","F","SBD","Single-ply",35.5,"35-39","Open",47.45,"48",162.5,125,155,"1","2006-11-05","IPF","World Powerlifting Championships"
"481","Tomi Kuusisto","M","SBD","Raw",16.5,"16-17","Sub-Juniors",64.75,"66",167.5,100,200,"4","2014-06-01","IPF","World Classic Powerlifting Championships"
"482","Almakky Harun Yasir","M","SBD","Raw",42.5,"40-44","Masters 1",102.05,"105",210,147.5,210,"11","2015-06-05","IPF","World Classic Powerlifting Championships"
"483","Raj Agnihotri Harsh","M","SBD","Single-ply",50.5,"50-54","Masters 2",118,"125",225,130,200,"2","2006-10-02","IPF","World Masters Powerlifting Championships"
"484","Georg Haug","M","SBD","Raw",49,"45-49","Masters 2",141.28,"120+",220,195.5,260,"5","2015-06-05","IPF","World Classic Powerlifting Championships"
"485","Joseph Teslar","M","SBD","Single-ply",40.5,"40-44","Masters 1",98.6,"100",255,187.5,250,"8","1998-10-06","IPF","World Masters Powerlifting Championships"
"486","Regina Hackney","F","SBD","Single-ply",70.5,"70-74","Masters 2",81.16,"82.5",60,67.5,122.5,"1","2010-09-27","IPF","World Masters Championships"
"487","Martin Hait","M","SBD","Raw",23.5,"24-34","Open",70.52,"74",175,112.5,215,"11","2018-07-09","IPF","3rd World University Powerlifting Cup"
"488","Tuomas Puhakka","M","SBD","Raw",22.5,"20-23","Open",103.41,"105",235,150,272.5,"10","2018-07-09","IPF","3rd World University Powerlifting Cup"
"489","Frank Panaro","M","SBD","Raw",66.5,"65-69","Masters 3",110.79,"120",232.5,135,272.5,"2","2018-06-06","IPF","6th World Classic Championships"
"490","Jenny Hunter","F","SBD","Single-ply",51.5,"50-54","Masters 2",51.68,"52",132.5,80,160,"2","2010-09-27","IPF","World Masters Championships"
"491","Robert Yamasaki","M","SBD","Single-ply",60.5,"60-64","Masters 3",73.46,"74",235,137.5,238,"1","2013-09-24","IPF","World Masters Powerlifting Championships"
"492","Maria Bosque","F","SBD","Single-ply",21.5,"20-23","Juniors",44,"44",107.5,55,115,"3","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"493","Agnieszka Ziolkowska","F","SBD","Single-ply",22.5,"20-23","Juniors",50.7,"52",127.5,60,152.5,"3","2007-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"494","Ronel Reyneke","F","SBD","Raw",46.5,"45-49","Masters 1",61.58,"63",100,60,120,"8","2016-06-19","IPF","World Classic Powerlifting Championships"
"495","Jon Krogman","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",106.6,"110",302.5,185,285,"1","2004-08-09","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"496","Eva Paulig","F","SBD","Single-ply",40.5,"40-44","Masters 1",75.1,"90",115,95,120,"5","1995-10-03","IPF","World Masters Powerlifting Championships"
"497","André Midtby","M","SBD","Raw",27.5,"24-34","Open",91.5,"93",270,200,302.5,"10","2019-06-04","IPF","World Classic Powerlifting Championships"
"498","Nataliy Davidova","F","SBD","Single-ply",15.5,"16-17","Sub-Juniors",54.1,"56",120,70,120,"3","2003-09-24","IPF","World Sub-Juniors Powerlifting Championships"
"499","Christopher Bruce","M","SBD","Single-ply",20.5,"20-23","Juniors",65.2,"66",185,112.5,230,"6","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"500","Blaine Sumner","M","SBD","Single-ply",25,"24-34","Open",158.27,"120+",440,295,332.5,"6","2012-11-10","IPF","World Powerlifting Championships"
